symbol,name,industry,price,marketCap,volume,dollarVolume,lastTradeDate,peRatio,forwardPE,pbRatio,psRatio,pegRatio,earningsYield,eps,epsGrowth,revenue,revenueGrowth,netIncome,netIncomeGrowth,netMargin,roe,roa,debtEquity,netDebtEquity,dividendYield,payoutRatio,beta,analystRating,analystCount,priceTarget,upsidePct,ch1y,price1m,price3m,price6m,priceYTD,week52High,week52Low,earningsDate,exDividendDate
HELI,Heliopolis Co. for Housing & Development,"Land Subdividers and Developers, Except Cemeteries",8,32040000000.0,13832922,110663376,2026-09-15,9.36,9.58,3.3117,6.90556,,10.68,0.85,90.024,4640000000.0,342.311,3420000000.0,90.025,73.71,38.64,11.16,0.844,0.776,5.52,46.98,0.09,Strong Buy,3,9.85,23.12,130.75,7.85,6.58,5.55,3.6,8.65,3.11,"Nov 9, 2026","May 18, 2026"
FAIT,Faisal Islamic Bank of Egypt,Commercial Banks,45.97,31330000000.0,31694,1456973,2026-09-15,4.05,,0.66266,2.05741,,23.1,11.34,8.264,15230000000.0,15.782,7240000000.0,9.426,47.54,17.59,2.89,0.002,-1.447,6.52,25.63,0.2,n/a,,,,64.57,40.81,36.46,33.84,32.07,48.35,26.01,"Nov 16, 2026","Apr 14, 2026"
FAITA,Faisal Islamic Bank of Egypt,Commercial Banks,0.986,31330000000.0,6166,6080,2026-09-15,4.33,,,,,,11.34,8.264,15230000000.0,15.782,7240000000.0,9.426,47.54,,,,,4.32,25.63,,n/a,,,,1.5,0.981,0.999,1.02,0.987,1.04,0.95,"Nov 16, 2026","Apr 14, 2026"
BTFH,Beltone Holding S.A.E,"Security and Commodity Brokers, Dealers, Exchanges, and Services",2.91,31190000000.0,18410160,53573566,2026-09-15,45.22,14.55,1.27327,2.43053,,2.21,0.06,-80.625,12830000000.0,107.669,689610000.0,-68.521,5.37,3.49,0.88,2.628,1.754,,21.13,-0.57,n/a,,,,-6.73,3.08,3.06,2.92,3.42,3.66,2.65,"Nov 26, 2026",n/a
FERC,Ferchem Misr for fertilizers and chemicals S.A.E,Agricultural Chemicals,77.79,31120000000.0,73972,5754282,2026-09-15,17.58,,7.65594,2.9349,,5.72,4.42,-80.849,10600000000.0,409.573,1780000000.0,201.081,16.79,42.09,15.41,1.256,0.862,7.46,131.81,,n/a,,,,-1.28,81.02,75.92,78.7,82.52,101,66.55,"Nov 12, 2026","Oct 14, 2025"
CIEB,Credit Agricole - Egypt Bank (S.A.E.),Commercial Banks,24.68,30850000000.0,388715,9593486,2026-09-15,4.96,4.45,1.38203,2.35832,,20.18,4.98,-5.121,13080000000.0,-0.134,6230000000.0,-5.132,47.63,32.98,4.75,0.098,-2.276,12.55,69.79,0.19,Strong Buy,4,32.91,33.35,37.49,24.46,23.69,23.2,22.46,28.49,17.9,"Oct 29, 2026","Apr 20, 2026"
RAYA,Raya Holding Company for Financial Investments (S.A.E),"Computer Programming, Data Processing, And Other Computer Related Services",7.08,30290000000.0,1847807,13082474,2026-09-15,11.64,8.43,3.32648,0.45364,0.20068,8.59,0.61,50.629,66760000000.00001,40.297,2600000000.0,50.604,3.89,42.24,8.35,2.826,2.274,0.53,7.8,0.37,n/a,,,,132.9,7.07,7.09,5.49,3.46,8.49,2.58,"Aug 26, 2026","Jul 8, 2025"
EXPA,Export Development Bank of Egypt (S.A.E.),Commercial Banks,20.82,28320000000.0,1728901,35995719,2026-09-15,3.76,,1.06802,1.81405,,26.61,5.54,37.789,15610000000.0,40.493,7540000000.0,37.789,48.3,32.48,3.7,0.082,-0.533,,26.06,0.23,n/a,,,,49.87,21.3,18.57,16.38,15.4,22.39,13.542,"Aug 26, 2026",n/a
EGCH,Egyptian Chemical Industries,Agricultural Chemicals,13.82,27450000000.0,5909143,81664356,2026-09-15,8.49,,1.81118,3.30354,,11.83,1.63,1867.881,8310000000.000001,36.453,3250000000.0,2094.187,39.11,27.59,3.69,0.849,0.608,,,0.59,n/a,,,,18.12,14.42,13.3,12.29,12.49,15.37,9.77,"Sep 21, 2026",n/a
ARCC,Arabian Cement Company S.A.E.,"Cement, Hydraulic",72.38,27130000000.0,329155,23824239,2026-09-15,6.25,6.54,5.65915,2.08266,,16.02,11.58,99.256,13030000000.0,26.68,4350000000.0,96.775,33.38,102.88,39.28,0.268,-0.143,3.83,71.08,0.2,Buy,3,78.0,7.76,85.59,74.2,56.41,48.44,50.8,91.72,35.01,"Nov 12, 2026","Apr 14, 2026"
