symbol,date,price,trend,rsi,macdSignal,ma20,ma50,ma200,vsMa50Pct,vsMa200Pct,support,resistance,stopLoss,riskPct,high52,low52,fromHigh52Pct,atr,atrPct,volumeRatio
ELSH,2026-08-13,13.94,صاعد قوي,51.1,هابط,14.27,13.45,9.18,3.7,51.8,13.41,14.07,12.93,7.2,15.15,6.66,-8.0,0.5,3.62,0.36
ASCM,2026-08-13,65.4,صاعد قوي,57.0,هابط,64.17,60.98,48.48,7.2,34.9,57.03,67.13,55.89,14.5,67.99,34.5,-3.8,2.86,4.37,0.76
PHDC,2026-08-13,15.29,صاعد قوي,55.9,صاعد,15.01,15.07,10.73,1.4,42.6,14.48,16.08,14.19,7.2,16.19,7.05,-5.6,0.35,2.28,0.52
GSSC,2026-08-13,280.66,صاعد قوي,60.8,هابط,276.08,260.8,246.71,7.6,13.8,269.48,285.64,260.39,7.2,286.29,218.3,-2.0,10.14,3.61,0.74
KRDI,2026-08-13,0.46,متذبذب,73.4,صاعد,0.4,0.37,0.51,23.2,-10.7,0.45,0.48,0.42,8.7,0.72,0.34,-36.8,0.02,3.95,2.75
GBCO,2026-08-13,31.5,صاعد قوي,52.4,صاعد,31.36,30.4,27.87,3.6,13.0,29.55,31.79,28.96,8.1,33.28,21.45,-5.3,1.12,3.55,0.43
NINH,2026-08-13,21.99,صاعد قوي,52.3,هابط,22.68,19.76,12.52,11.3,75.7,17.98,22.9,17.62,19.9,25.4,5.97,-13.4,1.26,5.74,0.68
TAQA,2026-08-13,15.42,صاعد قوي,61.1,صاعد,14.96,14.87,13.56,3.7,13.7,12.98,16.63,12.72,17.5,15.82,11.86,-2.5,0.4,2.6,1.18
ACAP,2026-08-13,9.01,متذبذب,50.5,هابط,9.02,9.02,8.18,-0.1,10.1,8.33,9.21,8.16,9.4,10.05,3.14,-10.3,0.36,4.0,0.67
ELKA,2026-08-13,1.77,صاعد قوي,53.9,هابط,1.86,1.56,1.3,13.2,36.2,1.37,2.16,1.34,24.3,2.16,1.03,-18.1,0.09,4.8,1.2
ACGC,2026-08-13,12.15,صاعد قوي,76.1,صاعد,10.84,10.09,8.7,20.5,39.6,10.39,,10.18,16.2,12.15,7.55,0.0,0.46,3.8,0.68
ZEOT,2026-08-13,13.61,صاعد قوي,70.4,صاعد,12.38,11.3,8.49,20.4,60.3,12.06,,11.82,13.2,13.61,3.92,0.0,0.77,5.62,0.99
MOIN,2026-08-13,34,صاعد قوي,70.7,صاعد,28.38,25.87,23.79,31.4,42.9,25.98,,25.46,25.1,37.81,15,-10.1,2.61,7.68,3.08
NIPH,2026-08-13,410.02,صاعد قوي,73.7,صاعد,282.58,214.14,136.0,91.5,201.5,,,317.75,22.5,460.01,45.87,-10.9,46.13,11.25,1.95
TALM,2026-08-13,19,صاعد قوي,68.1,صاعد,17.44,16.48,15.81,15.3,20.2,17.0,19.2,16.66,12.3,19.2,10.2,-1.0,1.03,5.43,1.32
EMFD,2026-08-13,11.74,متذبذب,51.2,صاعد,11.68,11.78,10.16,-0.4,15.6,11.25,12.1,11.03,6.0,12.5,8,-6.1,0.28,2.35,0.43
SCFM,2026-08-13,280.32,صاعد قوي,53.6,هابط,281.48,262.64,251.35,6.7,11.5,233.77,300.22,229.09,18.3,311,76.94,-9.9,17.05,6.08,0.9
GPIM,2026-08-13,1.24,صاعد قوي,64.8,صاعد,1.18,1.12,0.78,10.5,59.8,1.19,,1.14,8.1,1.25,0.22,-0.8,0.05,3.86,0.74
AMER,2026-08-13,6.5,صاعد قوي,72.9,صاعد,5.2,3.69,2.43,76.2,167.4,,,5.33,18.0,7.15,1.16,-9.1,0.58,9.0,0.67
IFAP,2026-08-13,21.86,صاعد قوي,71.5,صاعد,20.28,19.76,19.35,10.6,13.0,21.58,25.05,20.52,6.1,25.05,17.83,-12.7,0.67,3.07,2.03
SMFR,2026-08-13,269.47,صاعد قوي,68.5,صاعد,243.76,219.96,197.78,22.5,36.2,216.1,,211.78,21.4,272.79,170.29,-1.2,19.41,7.2,2.46
OCPH,2026-08-13,290,صاعد قوي,73.0,صاعد,246.04,204.77,137.06,41.6,111.6,,,249.85,13.8,310,62.67,-6.5,20.07,6.92,2.11
UEGC,2026-08-13,2.56,صاعد قوي,59.8,هابط,2.52,1.93,1.48,32.9,72.8,2.3,,2.19,14.5,2.82,0.97,-9.2,0.19,7.31,0.35
BTFH,2026-08-13,3.08,متذبذب,47.6,هابط,3.11,3.07,3.08,0.2,-0.1,2.81,3.11,2.75,10.7,3.6,2.71,-14.4,0.07,2.34,0.94
NARE,2026-08-13,17.26,صاعد قوي,52.5,هابط,17.66,15.22,9.88,13.4,74.8,,20.45,15.31,11.3,20.45,7.01,-15.6,0.98,5.66,0.76
EGAS,2026-08-13,59.07,صاعد قوي,64.8,صاعد,55.96,52.77,46.32,11.9,27.5,48.01,60.31,47.05,20.3,60.31,39.02,-2.1,3.9,6.61,1.17
WKOL,2026-08-13,323.02,صاعد قوي,54.0,هابط,319.46,305.02,291.18,5.9,10.9,321.11,343.02,281.72,12.8,346,137.88,-6.6,20.65,6.39,1.98
GRCA,2026-08-13,55.46,متذبذب,44.5,هابط,59.34,55.65,43.0,-0.3,29.0,52.53,56.59,49.45,10.8,64.1,13.7,-13.5,3.01,5.42,1.39
ASPI,2026-08-13,0.5,صاعد قوي,68.7,صاعد,0.43,0.37,0.32,35.4,57.2,0.4,0.54,0.39,22.0,0.52,0.27,-4.6,0.04,7.1,0.77
DOMT,2026-08-13,29.27,صاعد قوي,63.3,صاعد,27.78,26.72,25.08,9.6,16.7,27.11,,26.57,9.2,30,19.72,-2.4,1.27,4.34,2.27
CLHO,2026-08-13,17.14,صاعد قوي,50.8,هابط,17.26,16.49,13.73,3.9,24.9,16.34,18.32,15.61,8.9,18.32,8.12,-6.4,0.77,4.47,1.3
